,PROVINCIA,PRODUTO,TOTAL_VENTAS,GENERO,RANGO_ETARIO,ANIO
168,CÓRDOBA,ZAPATILLA FILA DISRUPTOR II PREMIUM MUJER,3929,FEM,ADULTO,2019
169,CÓRDOBA,ZAPATILLA FILA EURO JOGGER WEDGE MUJER,3806,FEM,ADULTO,2019
170,CÓRDOBA,ZAPATILLA FILA SLIDE MUJER,3620,FEM,ADULTO,2019
171,CÓRDOBA,ZAPATILLA FILA ETERNITY MUJER,3576,FEM,ADULTO,2019
172,CÓRDOBA,ZAPATILLA FILA FABULOUS MUJER,3492,FEM,ADULTO,2019
173,CORRIENTES,ZAPATILLA FILA LADY MUJER,464,FEM,ADULTO,2019
174,CORRIENTES,ZAPATILLA FILA DISRUPTOR II PREMIUM MUJER,432,FEM,ADULTO,2019
175,CORRIENTES,OJOTA FILA LOUNGE MUJER,350,FEM,ADULTO,2019
176,ENTRE RÍOS,OJOTA FILA DRIFTER BASIC MUJER,629,FEM,ADULTO,2019
177,ENTRE RÍOS,ZAPATILLA FILA SLIDE MUJER,473,FEM,ADULTO,2019
178,ENTRE RÍOS,ZAPATILLA FILA EURO JOGGER WEDGE MUJER,464,FEM,ADULTO,2019
179,JUJUY,ZAPATILLA FILA EURO JOGGER SPORT MUJER,352,FEM,ADULTO,2019
180,JUJUY,ZAPATILLA FILA LUGANO 5.0 MUJER,290,FEM,ADULTO,2019
181,JUJUY,ZAPATILLA FILA SWEET MUJER,288,FEM,ADULTO,2019
182,JUJUY,ZAPATILLA FILA ETERNITY MUJER,264,FEM,ADULTO,2019
183,JUJUY,ZAPATILLA FILA FINDER MUJER,251,FEM,ADULTO,2019
184,LA PAMPA,OJOTA FILA DRIFTER BASIC MUJER,774,FEM,ADULTO,2019
185,LA PAMPA,ZAPATILLA FILA LADY MUJER,513,FEM,ADULTO,2019
186,LA PAMPA,ZAPATILLA FILA SWEET MUJER,470,FEM,ADULTO,2019
187,LA RIOJA,ZAPATILLA FILA ETERNITY MUJER,206,FEM,ADULTO,2019
188,LA RIOJA,ZAPATILLA FILA FABULOUS MUJER,112,FEM,ADULTO,2019
