,PROVINCIA,PRODUTO,TOTAL_VENTAS,GENERO,RANGO_ETARIO,ANIO
366,SANTA FE,ZAPATILLA FILA LUGANO 6.0 HOMBRE,3770,HOM,ADULTO,2020
367,SANTA FE,ZAPATILLA FILA TREND HOMBRE,3588,HOM,ADULTO,2020
368,SANTA FE,ZAPATILLA FILA EURO JOGGER SPORT HOMBRE,3050,HOM,ADULTO,2020
369,SANTIAGO DEL ESTERO,ZAPATILLA FILA DISCOVERY HOMBRE,798,HOM,ADULTO,2020
370,SANTIAGO DEL ESTERO,ZAPATILLA FILA LUGANO 6.0 HOMBRE,602,HOM,ADULTO,2020
371,SANTIAGO DEL ESTERO,ZAPATILLA FILA SLANT FORCE HOMBRE,372,HOM,ADULTO,2020
372,TIERRA DEL FUEGO,SHORT TWR BASICO ARGE HOMBRE,90,HOM,ADULTO,2020
373,TIERRA DEL FUEGO,ZAPATILLA FILA FABULOUS HOMBRE,57,HOM,ADULTO,2020
374,TUCUMAN,ZAPATILLA FILA LUGANO 6.0 HOMBRE,6758,HOM,ADULTO,2020
375,TUCUMAN,ZAPATILLA FILA EURO JOGGER SPORT HOMBRE,4431,HOM,ADULTO,2020
376,BUENOS AIRES,MOCHILA FILA NINETEEN ELEVEN UNISEX,33053,UNI,ADULTO,2020
377,C.A.B.A.,MOCHILA FILA NINETEEN ELEVEN UNISEX,1170,UNI,ADULTO,2020
378,C.A.B.A.,BOTIN SINTETICO UMBRO INSIGHT,980,UNI,ADULTO,2020
379,CATAMARCA,MOCHILA FILA NINETEEN ELEVEN UNISEX,190,UNI,ADULTO,2020
380,CHACO,MOCHILA FILA NINETEEN ELEVEN UNISEX,300,UNI,ADULTO,2020
381,CHUBUT,MOCHILA FILA NINETEEN ELEVEN UNISEX,908,UNI,ADULTO,2020
382,CÓRDOBA,MOCHILA FILA NINETEEN ELEVEN UNISEX,7631,UNI,ADULTO,2020
383,CORRIENTES,MOCHILA FILA NINETEEN ELEVEN UNISEX,1853,UNI,ADULTO,2020
384,CORRIENTES,SHORTS HOMBRE TWR LETTER,638,UNI,ADULTO,2020
385,ENTRE RÍOS,BOTIN SINTETICO UMBRO INSIGHT,218,UNI,ADULTO,2020
386,LA RIOJA,BOTIN SINTETICO UMBRO INSIGHT,225,UNI,ADULTO,2020
387,LA RIOJA,MOCHILA FILA NINETEEN ELEVEN UNISEX,220,UNI,ADULTO,2020
388,MENDOZA,MOCHILA FILA NINETEEN ELEVEN UNISEX,2927,UNI,ADULTO,2020
389,MISIONES,TRIPACK SOQUETE  STRIPES FILA,132,UNI,ADULTO,2020
390,MISIONES,BOTIN SINTETICO UMBRO NEO GEO,114,UNI,ADULTO,2020
391,MISIONES,BOTIN SINTETICO UMBRO INSIGHT,107,UNI,ADULTO,2020
392,MISIONES,PELOTA NEO FUTSAL LIGA,102,UNI,ADULTO,2020
393,NEUQUÉN,MOCHILA FILA NINETEEN ELEVEN UNISEX,1580,UNI,ADULTO,2020
394,RÍO NEGRO,BOTIN SINTETICO UMBRO INSIGHT,270,UNI,ADULTO,2020
395,SAN LUIS,MOCHILA FILA NINETEEN ELEVEN UNISEX,170,UNI,ADULTO,2020
396,SANTA CRUZ,MOCHILA FILA NINETEEN ELEVEN UNISEX,192,UNI,ADULTO,2020
397,SANTA CRUZ,PELOTA NEO TRAINER MINI,162,UNI,ADULTO,2020
398,SANTA CRUZ,MEDIAS DE FUTBOL TEAMWEAR,162,UNI,ADULTO,2020
399,TUCUMAN,MOCHILA FILA NINETEEN ELEVEN UNISEX,6490,UNI,ADULTO,2020
400,TUCUMAN,MOCHILA UNISEX FILA ESSENCE,3890,UNI,ADULTO,2020
401,BUENOS AIRES,ZAPATILLA FILA EURO JOGGER SPORT MUJER,13322,FEM,ADULTO,2020
402,C.A.B.A.,ZAPATILLA FILA DISRUPTOR II PREMIUM MUJER,1357,FEM,ADULTO,2020
403,C.A.B.A.,ZAPATILLA FILA LADY MUJER,997,FEM,ADULTO,2020
404,CATAMARCA,ZAPATILLA FILA EURO JOGGER SPORT MUJER,286,FEM,ADULTO,2020
405,CATAMARCA,ZAPATILLA FILA TREND MUJER,252,FEM,ADULTO,2020
406,CATAMARCA,ZAPATILLA FILA LUGANO 6.0 MUJER,196,FEM,ADULTO,2020
407,CHACO,ZAPATILLA FILA FR LUMIX MUJER,329,FEM,ADULTO,2020
408,CHACO,ZAPATILLA FILA EURO JOGGER SPORT MUJER,299,FEM,ADULTO,2020
409,CHACO,ZAPATILLA FILA EURO JOGGER WEDGE SL MUJER,259,FEM,ADULTO,2020
410,CHACO,ZAPATILLA FILA LADY MUJER,256,FEM,ADULTO,2020
411,CHUBUT,ZAPATILLA FILA D-FORMATION MUJER,383,FEM,ADULTO,2020
412,CHUBUT,ZAPATILLA FILA EURO JOGGER WEDGE SL MUJER,372,FEM,ADULTO,2020
413,CÓRDOBA,ZAPATILLA FILA D-FORMATION MUJER,2610,FEM,ADULTO,2020
414,CÓRDOBA,ZAPATILLA FILA EURO JOGGER SPORT MUJER,2309,FEM,ADULTO,2020
415,ENTRE RÍOS,ZAPATILLA FILA LUGANO 6.0 MUJER,584,FEM,ADULTO,2020
416,ENTRE RÍOS,ZAPATILLA FILA EURO JOGGER SPORT MUJER,294,FEM,ADULTO,2020
417,ENTRE RÍOS,ZAPATILLA FILA SLIDE MUJER,206,FEM,ADULTO,2020
418,JUJUY,ZAPATILLA FILA LUGANO 6.0 MUJER,362,FEM,ADULTO,2020
419,JUJUY,ZAPATILLA FILA EURO JOGGER SPORT MUJER,153,FEM,ADULTO,2020
420,JUJUY,ZAPATILLA FILA SLANT FORCE MUJER,149,FEM,ADULTO,2020
421,LA PAMPA,ZAPATILLA FILA RACER MOVE MUJER,658,FEM,ADULTO,2020
422,LA PAMPA,ZAPATILLA FILA EURO JOGGER SPORT MUJER,615,FEM,ADULTO,2020
423,LA PAMPA,ZAPATILLA FILA FR LUMIX MUJER,336,FEM,ADULTO,2020
424,LA PAMPA,ZAPATILLA FILA TREND MUJER,335,FEM,ADULTO,2020
425,LA RIOJA,ZAPATILLA FILA LADY MUJER,238,FEM,ADULTO,2020
426,LA RIOJA,ZAPATILLA FILA TREND MUJER,224,FEM,ADULTO,2020
427,LA RIOJA,ZAPATILLA FILA LUGANO 6.0 MUJER,167,FEM,ADULTO,2020
428,MENDOZA,ZAPATILLA FILA EURO JOGGER SPORT MUJER,1359,FEM,ADULTO,2020
429,MISIONES,ZAPATILLA FILA LUGANO 6.0 MUJER,182,FEM,ADULTO,2020
430,MISIONES,ZAPATILLA FILA RACER MOVE MUJER,140,FEM,ADULTO,2020
431,NEUQUÉN,ZAPATILLA FILA LUGANO 5.0 MUJER,1399,FEM,ADULTO,2020
432,NEUQUÉN,ZAPATILLA FILA ZERMAT MUJER,829,FEM,ADULTO,2020
433,RÍO NEGRO,ZAPATILLA FILA ZERMAT MUJER,480,FEM,ADULTO,2020
434,RÍO NEGRO,ZAPATILLA FILA EURO JOGGER SPORT MUJER,298,FEM,ADULTO,2020
435,SALTA,ZAPATILLA FILA EURO JOGGER SPORT MUJER,424,FEM,ADULTO,2020
436,SALTA,ZAPATILLA FILA LUGANO 6.0 MUJER,392,FEM,ADULTO,2020
437,SALTA,ZAPATILLA FILA V.TRACK MUJER,366,FEM,ADULTO,2020
438,SAN JUAN,ZAPATILLA FILA QUARK MUJER,436,FEM,ADULTO,2020
439,SAN JUAN,ZAPATILLA FILA EURO JOGGER WEDGE SL MUJER,353,FEM,ADULTO,2020
440,SAN JUAN,ZAPATILLA FILA V.TRACK MUJER,347,FEM,ADULTO,2020
441,SAN LUIS,ZAPATILLA FILA LADY MUJER,280,FEM,ADULTO,2020
442,SAN LUIS,ZAPATILLA FILA TREND MUJER,202,FEM,ADULTO,2020
443,SAN LUIS,ZAPATILLA FILA V.TRACK MUJER,196,FEM,ADULTO,2020
444,SANTA CRUZ,ZAPATILLA FILA EURO JOGGER WEDGE SL MUJER,153,FEM,ADULTO,2020
445,SANTA FE,ZAPATILLA FILA LUGANO 6.0 MUJER,3179,FEM,ADULTO,2020
446,SANTA FE,ZAPATILLA FILA DISCOVERY MUJER,3045,FEM,ADULTO,2020
447,SANTA FE,ZAPATILLA FILA CAMBER MUJER,2959,FEM,ADULTO,2020
448,SANTIAGO DEL ESTERO,ZAPATILLA FILA EURO JOGGER WEDGE SL MUJER,552,FEM,ADULTO,2020
449,SANTIAGO DEL ESTERO,ZAPATILLA FILA LUGANO 6.0 MUJER,504,FEM,ADULTO,2020
450,SANTIAGO DEL ESTERO,ZAPATILLA FILA EURO JOGGER SPORT MUJER,350,FEM,ADULTO,2020
451,TIERRA DEL FUEGO,ZAPATILLA FILA SLIDE MUJER,61,FEM,ADULTO,2020
452,TIERRA DEL FUEGO,ZAPATILLA FILA LUGANO 6.0 MUJER,46,FEM,ADULTO,2020
453,TUCUMAN,ZAPATILLA FILA LUGANO 6.0 MUJER,4120,FEM,ADULTO,2020
454,TUCUMAN,ZAPATILLA FILA EURO JOGGER SPORT MUJER,3400,FEM,ADULTO,2020
